Threads,CPU-Clock,Task-Clock,L1-Dcache-Loads,L1-Dcache-Load-Misses,Cache-References,Cache-Misses,Context-Switches
2,3240.13,3241.01,2774606459,76966329,766461287,29435981,2002
4,5486.25,5488.35,5809825296,210397111,1647387270,75538967,5223
6,7759.15,7761.49,8946195384,309291224,2526120824,122899078,9312
8,10391.69,10393.90,12157750505,422022096,3316594715,153272267,13919
10,9839.63,9842.17,15753578334,504801792,4192687068,196389642,25484
15,14440.54,14444.22,23486749322,759520085,6149441912,271211742,41648
20,20478.53,20483.04,31864365895,1002430373,8247688279,390061398,57704
30,30903.78,30909.73,47719972873,1482884898,12322105962,586017305,85354
50,51932.50,51944.02,79011567480,2548178742,20561070357,971316301,171760
100,102784.41,102818.69,155002057149,4952508770,40667847323,1966943042,320013
